,Brand,Model,model_year,km_driven,car_type,gear_type,location,price,fuel_type
296,maruti,Ciaz ,2017,57000.0,sedan,Manual,borivali,575000.0,Petrol
297,honda,Brio ,2012,42000.0,hatchback,Manual,miraroad,265000.0,Petrol
298,maruti,Dzire ,2011,40000.0,sedan,Manual,miraroad,265000.0,Petrol
299,maruti,Dzire ,2011,40000.0,sedan,Manual,miraroad,265000.0,Petrol
300,maruti,Alto ,2011,66000.0,hatchback,Manual,miraroad,155000.0,Petrol
301,maruti,wagonR ,2012,66000.0,hatchback,Manual,miraroad,269000.0,Petrol
302,maruti,WagonR ,2012,45000.0,hatchback,Manual,miraroad,299000.0,Petrol
303,maruti,Zen Estilo ,2013,51000.0,hatchback,Manual,mira road,289000.0,Petrol
304,maruti,WagonR Vxi ,2012,35000.0,hatchback,Manual,mira road,299000.0,Petrol
305,honda,City ,2015,34500.0,sedan,Manual,mira road,579000.0,Petrol
306,honda,City ,2011,40000.0,sedan,Manual,malad,335000.0,Petrol
307,maruti,ERTIGA vxi ,2018,26000.0,suv/muv,Manual,goregaon,925000.0,Petrol
308,honda,Jazz ,2017,92000.0,hatchback,Manual,goregaon,515000.0,Diesel
309,tata,Safari Storme ,2014,105000.0,suv/muv,Manual,goregaon,551000.0,Diesel
310,hyundai,GRAND I10 ,2016,36000.0,hatchback,Automatic,matunga,525000.0,Petrol
311,mercedes,Benz V Class ,2019,27000.0,luxury,Automatic,malad,7300000.0,Diesel
312,hyundai,ELANTRA ,2017,53000.0,sedan,Manual,ghatkopar,1150000.0,Diesel
313,land rover range rover,Range Rover Evoque ,2013,112000.0,suv/muv,Automatic,ghatkopar,8225000.0,Diesel
314,honda,CITY ,2014,30000.0,sedan,Manual,ghatkopar,615000.0,Petrol
315,maruti,SWIFT ,2012,78000.0,hatchback,Manual,ghatkopar,440000.0,Diesel
316,volkswagen,Passat ,2018,50000.0,sedan,Manual,matunga,1975000.0,Diesel
317,mercedes,Benz E Class ,2010,83919.0,luxury,Automatic,matunga,899000.0,Petrol
318,honda,CITY ,2019,61000.0,sedan,Automatic,borivali,970000.0,Petrol
319,jeep,Compass Limited ,2018,30176.0,suv,Automatic,malad,1499000.0,Petrol
320,honda,CITY ,2015,73257.0,sedan,Manual,borivali,570000.0,Diesel
321,isuzu mu,MU-X ,2017,40200.0,suv/muv,Automatic,matunga,1995000.0,Diesel
322,honda,CR-V ,2016,45900.0,suv/muv,Automatic,matunga,1375000.0,Petrol
323,maruti,A Star VXI ,2013,54200.0,hatchback,Automatic,m.g.road,285000.0,Petrol
324,hyundai,i10 Magna ,2008,67136.0,hatchback,Manual,m.g.road,149000.0,Petrol
325,hyundai,i10 Asta ,2009,249000.0,hatchback,Automatic,m.g.road,249000.0,Petrol
326,honda,Jazz ,2016,36900.0,hatchback,Automatic,m.g.road,590000.0,Petrol
327,skoda,Rapid ,2015,75200.0,sedan,Automatic,m.g.road,475000.0,Diesel
328,maruti,SX4 VXi ,2008,84100.0,sedan,Manual,m.g.road,175000.0,Petrol
329,honda,Amaze ,2014,60919.0,sedan,Manual,m.g.road,449000.0,Diesel
330,audi,S5 Sportback ,2017,27200.0,sedan,Automatic,m.g.road,5275000.0,Petrol
331,mahindra,Thar LX 4-STR Hard Top ,2021,17000.0,suv/muv,Automatic,m.g.road,1800000.0,Petrol
332,toyota,Innova ,2019,15024.0,suv/muv,Manual,m.g.road,2285000.0,Diesel
333,volkswagen,Polo GT TSI ,2016,45000.0,hatchback,Automatic,mumbai,620000.0,Petrol
334,maruti,Ciaz Alpha ,2017,53320.0,sedan,Manual,m.g.road,750000.0,Petrol
335,hyundai,Grand i10 Asta ,2014,28200.0,hatchback,Manual,m.g.road,435000.0,Petrol
336,maruti,Ertiga ZDI BS ,2012,59000.0,suv/muv,Manual,m.g.road,575000.0,Petrol
337,toyota,Etios  ,2013,65343.0,sedan,Manual,m.g.road,400000.0,Petrol
338,volkswagen,Polo ,2016,51000.0,hatchback,Manual,m.g.road,485000.0,Diesel
339,toyota,Innova Crysta ,2019,21000.0,suv/muv,Manual,mumbai,1949999.0,Diesel
340,hyundai,i20 Sportz  ,2011,84000.0,hatchback,Manual,mumba,315000.0,Diesel
341,maruti,Vitara Brezza ,2016,64257.0,suv/muv,Manual,m.g.road,810000.0,Diesel
342,honda,Amaze  ,2015,45000.0,sedan,Manual,m.g.road,455000.0,Petrol
343,honda,Brio  ,2012,48000.0,hatchback,Manual,m.g.road,325000.0,Petrol
344,maruti,Celerio  ,2016,15000.0,hatchback,Auto,m.g.road,465000.0,Petrol
345,honda,City 1.5 V MT ,2012,105000.0,sedan,Manual,m.g.road,349000.0,Petrol
346,mercedes,E Class 280 CDI ,2008,69000.0,sedan,Auto,m.g.road,725000.0,Diesel
347,toyota,Camry Hybrid ,2014,112000.0,sedan,Auto,m.g.road,1275000.0,Petrol
348,audi,A4 2.0 TDI ,2012,50000.0,sedan,Auto,m.g.road,1275000.0,Diesel
349,bmw,5 Series ,2016,45000.0,sedan,Auto,m.g.road,2775000.0,Diesel
350,mercedes,E Class ,2009,73000.0,sedan,Auto,m.g.road,750000.0,Diesel
351,toyota,Innova 2.5 VX ,2014,98000.0,suv/muv,Manual,m.g.road,1060000.0,Diesel
352,audi,A6 ,2010,94000.0,sedan,Auto,m.g.road,770000.0,Diesel
353,honda,City SV 1.5L i-VTEC ,2017,57000.0,sedan,Manual,m.g.road,749000.0,Petrol
354,hyundai,Creta 1.6 ,2017,56000.0,suv/muv,Auto,m.g.road,1140000.0,Petrol
355,mercedes,E Class ,2008,54000.0,sedan,Auto,m.g.road,450000.0,Petrol
356,mercedes,S Class ,2011,72000.0,sedan,Auto,m.g.road,1495000.0,Diesel
357,mercedes,E Class ,2011,66000.0,sedan,Auto,m.g.road,975000.0,Diesel
358,honda,Jaaz ,2015,47000.0,hatchback,Auto,bombay,525000.0,Petrol
359,mercedes,E250 CDI ,2010,93000.0,luxury sedan,Auto,mazgoan,725000.0,Diesel
360,honda,Jazz ,2010,92000.0,hatchback,Manual,andheri west,225000.0,Petrol
361,maruti,star VXI ,2009,80000.0,hatchback,Manual,andheri west,150000.0,Petrol
362,maruti,Swift Dzire ,2013,68000.0,sedan,Manual,andheri west,440000.0,Petrol
363,hyundai,I20 Asta ,2009,99000.0,hatchback,Manual,andheri west,240000.0,Petrol
364,hyundai,I20 Asta ,2010,70000.0,hatchback,Manual,andheri west,245000.0,Petrol
365,hyundai,i20 Asta ,2009,95000.0,hatchback,Manual,andheri west,248000.0,Petrol
366,bmw,3 series Sports Line  ,2013,60000.0,luxury,Auto,andheri,1365000.0,Diesel
367,audi,A7 ,2015,59000.0,luxury,Auto,andheri,2625000.0,Diesel
368,skoda,Octavia  ,2017,48000.0,sedan,Auto,andheri,1485000.0,Petrol
369,honda,City ,2010,75000.0,sedan,Auto,andheri,325000.0,Petrol
370,mahindra,Bolero ,2014,90000.0,suv/muv,Manual,mumbai,550000.0,Diesel
371,maruti,Ciaz  ,2016,43000.0,sedan,Auto,mumbai,650000.0,Petrol
372,maruti,Celerio  ,2016,47000.0,hatchback,Manual,mumbai,470000.0,Petrol
373,maruti,Dzire  ,2013,77000.0,sedan,Manual,mumbai,440000.0,Diesel
374,toyota,Corolla  ,2012,70000.0,sedan,Manual,mumbai,420000.0,Diesel
375,maruti,Ignis  ,2017,81000.0,hatchback,Manual,mumbai,630000.0,Diesel
376,hyundai,Grand i10 ,2015,38000.0,hatchback,Manual,mumbai,350000.0,Petrol
377,mahindra,XUV 5OO ,2013,100000.0,suv/muv,Manual,mira road,600000.0,Diesel
378,toyota,Innova  ,2015,88000.0,suv/muv,Manual,mumbai,1175000.0,Diesel
379,maruti,WagonR VXI  ,2012,36000.0,hatchback,Manual,mumbai,295000.0,Petrol
380,hyundai,Creta  ,2017,37000.0,suv/muv,Manual,mumbai,875000.0,Petrol
381,volkswagen,Polo Highline  ,2016,40000.0,hatchback,Manual,mumbai,595000.0,Diesel
382,mercedes,GLA 220D ,2016,55000.0,luxury,Auto,mumbai,2430000.0,Diesel
383,toyota,INNOVA  ,2014,151000.0,suv/muv,Manual,kandiwali west,949999.0,Diesel
384,hyundai,I 20 ,2014,75000.0,hatchback,Manual,kandiwali west,425000.0,Petrol
385,honda,City ,2010,76000.0,sedan,Auto,kandiwali west,361000.0,Petrol
386,bmw,3 Series GT ,2015,24000.0,luxury,Auto,mumbai,2395000.0,Diesel
387,hyundai,Grand I10  ,2015,28000.0,hatchback,Manual,mumbai,461000.0,Petrol
388,honda,HONDA CITY ,2015,43000.0,sedan,Auto,kandiwali west,790000.0,Petrol
389,maruti,Ertiga VXI  ,2016,46000.0,suv/muv,Manual,mumbai,790000.0,Petrol
390,maruti,Ertiga ,2017,56000.0,suv/muv,Manual,mumbai,875000.0,Petrol
391,honda,City ,2012,53000.0,sedan,Manual,mumbai,421000.0,Petrol
392,hyundai,Grand I 20 ,2015,65000.0,hatchback,Manual,kandivali west,545000.0,Petrol
393,toyota,Innova Crysta ,2016,63000.0,suv/muv,Manual,kandiwali west,1575000.0,Diesel
394,mitsubishi,Pajero Sports ,2016,82000.0,suv/muv,Automatic,mitsubishi pajero sports,1471111.0,Diesel
395,mercedes,Benz ML Class ,2010,68000.0,luxury,Automatic,matunga,1375000.0,Diesel
396,hyundai,Creta ,2018,13500.0,suv/muv,Manual,matunga,945000.0,Petrol
397,toyota,Corolla Altis ,2016,54000.0,sedan,Automatic,matunga road,975000.0,Petrol
398,kia,SONET ,2021,13000.0,hatchback,Manual,matunga road,1275000.0,Petrol
399,honda,JAZZ ,2017,28000.0,hatchback,Manual,matunga road,625000.0,Petrol
400,bmw,X3 XDrive ,2019,35000.0,suv/muv,Manual,matunga road,5475000.0,Diesel
401,mahindra,XUV 500 ,2017,68000.0,suv/muv,Manual,matunga road,965000.0,Diesel
402,mg,HECTOR ,2020,6278.0,suv/muv,Manual,matunga road,1795000.0,Petrol
403,bmw,3 Series ,2020,450.0,luxury,Automatic,matunga road,4950000.0,Diesel
404,bmw,3 SERIES 320D ,2020,400.0,luxury,Automatic,matunga road,4975000.0,Diesel
405,mitsubishi,Outlander 2.4 ,2010,86335.0,suv/muv,Automatic,matunga road,395000.0,Petrol
406,tata,Nexon EV XZ  ,2021,13100.0,suv/muv,Automatic,matunga,1485000.0,Petrol
407,maruti,CIAZ ,2015,40000.0,sedan,Automatic,matunga road,635000.0,Petrol
408,toyota,Innova Crysta ,2018,22800.0,suv/muv,Automatic,matunga road,2225000.0,Diesel
409,honda,Jazz ,2018,27251.0,hatchback,Automatic,matunga road,725000.0,Petrol
410,mercedes,E250 ,2010,93000.0,luxury sedan,Automatic,mazgoan,725000.0,Diesel
411,toyota,Fortuner ,2019,21000.0,suv/muv,Automatic,matunga road,3675000.0,Diesel
412,jaguar,XJ 3.0l Portfolio ,2017,16500.0,luxury,Automatic,matunga road,6775000.0,Diesel
413,tata,Nano Twist XT ,2015,9000.0,hatchback,Manual,matunga road,225000.0,Petrol
414,maruti,Swift VXI ,2019,16000.0,sedan,Manual,matunga road,635000.0,Petrol
415,jaguar,XF 2.0 Prestige ,2017,27800.0,sedan,Automatic,matunga road,3200000.0,Petrol
416,volvo,S60 Cross Country ,2018,18200.0,sedan,Automatic,matunga road,2500000.0,Diesel
